match_id,over,batter,batsman_runs,season
335989,4,RV Uthappa,4,2007/08
335989,4,RV Uthappa,4,2007/08
335989,7,RV Uthappa,4,2007/08
335989,8,RV Uthappa,4,2007/08
335989,9,RV Uthappa,4,2007/08
335989,13,AM Nayar,4,2007/08
335989,13,DJ Bravo,4,2007/08
335989,13,DJ Bravo,4,2007/08
335989,15,AM Nayar,4,2007/08
335989,16,AM Nayar,4,2007/08
335989,16,AM Nayar,4,2007/08
335989,18,Harbhajan Singh,4,2007/08
335989,19,AM Nayar,4,2007/08
335989,19,AM Nayar,4,2007/08
335990,0,AC Gilchrist,4,2007/08
335990,0,AC Gilchrist,4,2007/08
335990,0,AC Gilchrist,4,2007/08
335990,1,VVS Laxman,4,2007/08
335990,1,VVS Laxman,4,2007/08
335990,2,Shahid Afridi,4,2007/08
335990,4,A Symonds,4,2007/08
335990,4,A Symonds,4,2007/08
335990,4,VVS Laxman,4,2007/08
335990,5,A Symonds,4,2007/08
335990,5,A Symonds,4,2007/08
335990,9,A Symonds,4,2007/08
335990,10,A Symonds,4,2007/08
335990,14,A Symonds,4,2007/08
335990,14,A Symonds,4,2007/08
335990,15,A Symonds,4,2007/08
335990,15,RG Sharma,4,2007/08
335990,16,RG Sharma,4,2007/08
335990,16,RG Sharma,4,2007/08
335990,18,AS Yadav,4,2007/08
335990,18,A Symonds,4,2007/08
335990,18,A Symonds,4,2007/08
335990,19,AS Yadav,4,2007/08
335990,19,AS Yadav,4,2007/08
335990,0,Kamran Akmal,4,2007/08
335990,2,GC Smith,4,2007/08
335990,3,YK Pathan,4,2007/08
335990,3,GC Smith,4,2007/08
335990,4,YK Pathan,4,2007/08
335990,4,GC Smith,4,2007/08
335990,5,GC Smith,4,2007/08
335990,5,GC Smith,4,2007/08
335990,7,YK Pathan,4,2007/08
335990,7,YK Pathan,4,2007/08
335990,8,GC Smith,4,2007/08
335990,10,GC Smith,4,2007/08
335990,12,M Kaif,4,2007/08
335990,15,GC Smith,4,2007/08
335990,15,M Kaif,4,2007/08
335990,16,GC Smith,4,2007/08
335990,17,SK Warne,4,2007/08
335990,19,SK Warne,4,2007/08
335991,2,KC Sangakkara,4,2007/08
335991,3,KC Sangakkara,4,2007/08
335991,3,K Goel,4,2007/08
335991,4,KC Sangakkara,4,2007/08
335991,4,KC Sangakkara,4,2007/08
335991,4,KC Sangakkara,4,2007/08
335991,5,KC Sangakkara,4,2007/08
335991,5,KC Sangakkara,4,2007/08
335991,6,KC Sangakkara,4,2007/08
335991,7,KC Sangakkara,4,2007/08
335991,10,Yuvraj Singh,4,2007/08
335991,14,KC Sangakkara,4,2007/08
335991,14,KC Sangakkara,4,2007/08
335991,15,KC Sangakkara,4,2007/08
335991,16,KC Sangakkara,4,2007/08
335991,18,B Lee,4,2007/08
335991,18,B Lee,4,2007/08
335991,19,VRV Singh,4,2007/08
335991,1,L Ronchi,4,2007/08
335991,2,DJ Bravo,4,2007/08
335991,4,DJ Bravo,4,2007/08
335991,4,DJ Bravo,4,2007/08
335991,4,RV Uthappa,4,2007/08
335991,6,RV Uthappa,4,2007/08
335991,7,DJ Bravo,4,2007/08
335991,8,SS Tiwary,4,2007/08
335991,11,SS Tiwary,4,2007/08
335991,11,SM Pollock,4,2007/08
335991,15,SM Pollock,4,2007/08
335991,17,MA Khote,4,2007/08
335992,3,LRPL Taylor,4,2007/08
335992,3,LRPL Taylor,4,2007/08
335992,3,LRPL Taylor,4,2007/08
335992,4,JH Kallis,4,2007/08
335992,4,JH Kallis,4,2007/08
335992,4,LRPL Taylor,4,2007/08
335992,5,LRPL Taylor,4,2007/08
335992,5,LRPL Taylor,4,2007/08
335992,14,P Kumar,4,2007/08
335992,17,P Kumar,4,2007/08
335992,18,Z Khan,4,2007/08
335992,18,Z Khan,4,2007/08
335992,0,YK Pathan,4,2007/08
335992,0,YK Pathan,4,2007/08
335992,1,YK Pathan,4,2007/08
335992,1,YK Pathan,4,2007/08
335992,2,YK Pathan,4,2007/08
335992,3,GC Smith,4,2007/08
335992,4,GC Smith,4,2007/08
335992,5,GC Smith,4,2007/08
335992,6,GC Smith,4,2007/08
335992,7,SR Watson,4,2007/08
335992,7,SR Watson,4,2007/08
335992,8,GC Smith,4,2007/08
335992,10,GC Smith,4,2007/08
335992,13,SR Watson,4,2007/08
335992,13,SR Watson,4,2007/08
335992,13,SR Watson,4,2007/08
335992,13,SR Watson,4,2007/08
335992,13,SR Watson,4,2007/08
335992,15,GC Smith,4,2007/08
335992,15,GC Smith,4,2007/08
335992,16,M Kaif,4,2007/08
335992,17,SR Watson,4,2007/08
335993,0,SC Ganguly,4,2007/08
335993,1,BB McCullum,4,2007/08
335993,1,BB McCullum,4,2007/08
335993,3,WP Saha,4,2007/08
335993,4,WP Saha,4,2007/08
335993,4,WP Saha,4,2007/08
335993,4,WP Saha,4,2007/08
335993,5,WP Saha,4,2007/08
335993,12,LR Shukla,4,2007/08
335993,14,Mohammad Hafeez,4,2007/08
335993,14,AB Agarkar,4,2007/08
335993,18,LR Shukla,4,2007/08
335993,19,LR Shukla,4,2007/08
335993,19,LR Shukla,4,2007/08
335993,0,PA Patel,4,2007/08
335993,2,ML Hayden,4,2007/08
335993,3,PA Patel,4,2007/08
335993,4,PA Patel,4,2007/08
335993,4,ML Hayden,4,2007/08
335993,5,ML Hayden,4,2007/08
335993,5,ML Hayden,4,2007/08
335993,8,ML Hayden,4,2007/08
335993,11,MS Dhoni,4,2007/08
335993,14,MS Dhoni,4,2007/08
335993,14,MS Dhoni,4,2007/08
335993,16,ML Hayden,4,2007/08
335994,0,L Ronchi,4,2007/08
335994,1,L Ronchi,4,2007/08
335994,1,L Ronchi,4,2007/08
335994,5,RV Uthappa,4,2007/08
335994,6,ST Jayasuriya,4,2007/08
335994,7,SM Pollock,4,2007/08
335994,9,ST Jayasuriya,4,2007/08
335994,12,SM Pollock,4,2007/08
335994,13,SM Pollock,4,2007/08
335994,13,DJ Bravo,4,2007/08
335994,14,AM Nayar,4,2007/08
335994,18,DJ Bravo,4,2007/08
335994,18,DJ Bravo,4,2007/08
335994,19,MA Khote,4,2007/08
335994,0,AC Gilchrist,4,2007/08
335994,0,AC Gilchrist,4,2007/08
335994,1,AC Gilchrist,4,2007/08
335994,1,VVS Laxman,4,2007/08
335994,2,AC Gilchrist,4,2007/08
335994,2,VVS Laxman,4,2007/08
335994,3,AC Gilchrist,4,2007/08
335994,3,AC Gilchrist,4,2007/08
335994,5,AC Gilchrist,4,2007/08
335994,6,AC Gilchrist,4,2007/08
335994,7,VVS Laxman,4,2007/08
335994,8,AC Gilchrist,4,2007/08
335994,8,AC Gilchrist,0,2007/08
335994,11,VVS Laxman,4,2007/08
335995,0,V Sehwag,4,2007/08
335995,2,Shoaib Malik,4,2007/08
335995,3,G Gambhir,4,2007/08
335995,3,G Gambhir,4,2007/08
335995,4,Shoaib Malik,4,2007/08
335995,4,G Gambhir,4,2007/08
335995,5,Shoaib Malik,4,2007/08
335995,6,MK Tiwary,4,2007/08
335995,9,KD Karthik,4,2007/08
335995,10,MK Tiwary,4,2007/08
335995,11,KD Karthik,4,2007/08
335995,12,MK Tiwary,4,2007/08
335995,14,MK Tiwary,4,2007/08
335995,15,R Bhatia,4,2007/08
335995,17,MK Tiwary,4,2007/08
335995,17,MK Tiwary,4,2007/08
335995,18,MF Maharoof,4,2007/08
335995,18,MF Maharoof,4,2007/08
335995,1,KC Sangakkara,4,2007/08
335995,2,SM Katich,4,2007/08
335995,2,SM Katich,4,2007/08
335995,3,SM Katich,4,2007/08
335995,3,SM Katich,4,2007/08
335995,3,SM Katich,4,2007/08
335995,4,SM Katich,4,2007/08
335995,4,SM Katich,4,2007/08
335995,5,DPMD Jayawardene,4,2007/08
335995,5,DPMD Jayawardene,4,2007/08
335995,6,SM Katich,4,2007/08
335995,8,SM Katich,4,2007/08
335995,9,Yuvraj Singh,4,2007/08
335995,10,SM Katich,4,2007/08
335995,12,SM Katich,4,2007/08
335995,16,Yuvraj Singh,4,2007/08
335995,17,IK Pathan,4,2007/08
335995,17,IK Pathan,4,2007/08
335995,19,Yuvraj Singh,4,2007/08
335996,1,ML Hayden,4,2007/08
335996,1,PA Patel,4,2007/08
335996,3,ML Hayden,4,2007/08
335996,5,MEK Hussey,4,2007/08
335996,5,PA Patel,4,2007/08
335996,10,SK Raina,4,2007/08
335996,14,MS Dhoni,4,2007/08
335996,14,MS Dhoni,4,2007/08
335996,16,MEK Hussey,4,2007/08
