match_id,batting_team,bowling_team,over,batter,bowler,batsman_runs,total_runs,season
335996,Royal Challengers Bangalore,Chennai Super Kings,13,LRPL Taylor,JA Morkel,6,6,2007/08
335997,Kolkata Knight Riders,Mumbai Indians,2,DB Das,SM Pollock,6,6,2007/08
335997,Kolkata Knight Riders,Mumbai Indians,16,LR Shukla,DJ Bravo,6,6,2007/08
335997,Kolkata Knight Riders,Mumbai Indians,17,LR Shukla,CRD Fernando,6,6,2007/08
335997,Mumbai Indians,Kolkata Knight Riders,1,ST Jayasuriya,I Sharma,6,6,2007/08
335997,Mumbai Indians,Kolkata Knight Riders,11,DJ Bravo,M Kartik,6,6,2007/08
335998,Delhi Daredevils,Royal Challengers Bangalore,3,V Sehwag,Z Khan,6,6,2007/08
335998,Delhi Daredevils,Royal Challengers Bangalore,10,S Dhawan,JH Kallis,6,6,2007/08
335998,Delhi Daredevils,Royal Challengers Bangalore,13,S Dhawan,SB Joshi,6,6,2007/08
335998,Delhi Daredevils,Royal Challengers Bangalore,13,G Gambhir,SB Joshi,6,6,2007/08
335998,Delhi Daredevils,Royal Challengers Bangalore,14,S Dhawan,JH Kallis,6,6,2007/08
335998,Royal Challengers Bangalore,Delhi Daredevils,2,LRPL Taylor,GD McGrath,6,6,2007/08
335998,Royal Challengers Bangalore,Delhi Daredevils,3,LRPL Taylor,Mohammad Asif,6,6,2007/08
335998,Royal Challengers Bangalore,Delhi Daredevils,3,W Jaffer,Mohammad Asif,6,6,2007/08
335998,Royal Challengers Bangalore,Delhi Daredevils,11,R Dravid,Shoaib Malik,6,6,2007/08
335998,Royal Challengers Bangalore,Delhi Daredevils,13,JH Kallis,V Sehwag,6,6,2007/08
335998,Royal Challengers Bangalore,Delhi Daredevils,19,MV Boucher,V Sehwag,6,6,2007/08
335998,Royal Challengers Bangalore,Delhi Daredevils,19,MV Boucher,V Sehwag,6,6,2007/08
335999,Deccan Chargers,Kings XI Punjab,11,Shahid Afridi,Gagandeep Singh,6,6,2007/08
335999,Deccan Chargers,Kings XI Punjab,14,RG Sharma,PP Chawla,6,6,2007/08
335999,Deccan Chargers,Kings XI Punjab,19,RG Sharma,IK Pathan,6,6,2007/08
335999,Kings XI Punjab,Deccan Chargers,14,DPMD Jayawardene,D Kalyankrishna,6,6,2007/08
